Category,Description,Data.Kilocalories,Data.Protein,Data.Fat.Total Lipid,Data.Carbohydrate,Data.Sugar Total,Data.Cholesterol,Data.Water,Data.Major Minerals.Calcium,Data.Major Minerals.Iron,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin A - RAE,missing_count
MILK,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ VIT A",42.0,3.37,0.97,4.99,5.199999809,5,89.92,119,0.03,0.0,58,0
MILK,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ NONFAT MILK SOL&VIT A",43.0,3.48,0.97,4.97,0.0,4,89.81,128,0.05,1.0,59,0
MILK,"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ VIT A",48.0,3.93,1.17,5.52,0.0,4,88.74,142,0.06,1.2,61,0
MILK,"MILK,NONFAT,FLUID,W/ VIT A (FAT FREE OR SKIM)",34.0,3.37,0.08,4.96,5.090000153,2,90.84,125,0.03,0.0,61,0
MILK,"MILK,NONFAT,FLUID,W/ NONFAT MILK SOL&VIT A (FAT FREE/SKIM)",37.0,3.57,0.25,5.02,5.019999981,2,90.38,129,0.05,1.0,61,0
MILK,"MILK,NONFAT,FLUID,PROT FORT,W/ VIT A (FAT FREE/SKIM)",41.0,3.96,0.25,5.56,0.0,2,89.36,143,0.06,1.1,61,0
MILK,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",40.0,3.31,0.88,4.79,4.789999962,4,90.13,116,0.05,1.0,7,0
MILK,"MILK,LOW SODIUM,FLUID",61.0,3.1,3.46,4.46,4.460000038,14,88.2,101,0.05,0.9,28,0
MILK,"MILK,DRY,WHOLE",496.0,26.32,26.71,38.42,38.41999817,97,2.47,912,0.47,8.6,257,0
MILK,"MILK,DRY,NONFAT,REG,WO/ VIT A",362.0,36.16,0.77,51.98,51.97999954,20,3.16,1257,0.32,6.8,6,0
MILK,"MILK,DRY,NONFAT,INST,W/ VIT A",358.0,35.1,0.72,52.19,52.18999863,18,3.96,1231,0.31,5.6,709,0
MILK,"MILK,DRY,NONFAT,CA RED",354.0,35.5,0.2,51.8,0.0,2,4.9,280,0.32,6.7,2,0
MILK,"MILK,BUTTERMILK,DRIED",387.0,34.3,5.78,49.0,49.0,69,2.97,1184,0.3,5.7,49,0
MILK,"MILK,CND,COND,SWTND",321.0,7.91,8.7,54.4,54.40000153,34,27.16,284,0.19,2.6,74,0
MILK,"MILK,CND,EVAP,WO/ VIT A",134.0,6.81,7.56,10.04,10.03999996,29,74.04,261,0.19,1.9,65,0
MILK,"MILK,CND,EVAP,NONFAT",78.0,7.55,0.2,11.35,11.35000038,4,79.4,290,0.29,1.2,118,0
MILK,"MILK,CHOC,FLUID,COMM,",83.0,3.17,3.39,10.34,9.539999962,12,82.3,112,0.24,0.9,26,0
MILK,"MILK,CHOC,FLUID,COMM,RED FAT",76.0,2.99,1.9,12.13,9.550000191,8,82.17,109,0.24,0.0,64,0
MILK,"MILK,CHOC,FLUID,COMM,LOWFAT",63.0,3.24,1.0,10.44,9.93999958,3,84.5,115,0.24,0.9,58,0
MILK,"MILK,CHOC BEV,HOT COCOA,HOMEMADE",77.0,3.52,2.33,10.63,9.670000076,8,82.57,105,0.48,0.2,51,0
MILK,"MILK,GOAT,FLUID",69.0,3.56,4.14,4.45,4.449999809,11,87.03,134,0.05,1.3,57,0
